,entity_en,entity_ar,unit_en,unit_ae,year,value
0,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2010,33742
1,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2011,34606
2,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2012,36297
3,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2013,37478
4,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2014,39599
5,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2015,42006
6,Dubai Electricity & Water Authority,هيئة كهرباء ومياه دبي,GWH,جيجا وات.ساعة,2016,43092
7,Dubai Electricity & Water Authority,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2017,45162
8,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2010,10254
9,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2011,10420
10,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2012,5362
11,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2013,5428
12,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2014,5683
13,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2015,5433
14,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2016,5685
15,Sharjah Electricity and Water Authority ,هيئة كهرباء ومياه الشارقة,GWH,جيجا وات.ساعة,2017,5899
16,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2010,3401
17,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2011,2540
18,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2012,2398
19,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2013,1581
20,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2014,399
21,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2015,158
22,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2016,293
23,Federal Electricity and Water Authority,الهيئة الاتحادية للكهرباء والماء,GWH,جيجا وات.ساعة,2017,486
